iter,case,idx,relation_events_at_idx,new_relations_at_idx,reused_relations_at_idx,new_relation_names,cumulative_relations
iter0,case1_name_only,114,5,3,2,foundingPlace; founded; numberOfEmployees,158
iter0,case1_name_only,115,1,0,1,,158
iter0,case1_name_only,116,2,0,2,,158
iter0,case1_name_only,117,3,1,2,revenue,159
iter0,case1_name_only,118,2,1,1,numberOfUndergraduateStudents,160
iter0,case1_name_only,119,5,0,5,,160
iter0,case1_name_only,120,1,1,0,foundedBy,161
iter0,case1_name_only,121,1,0,1,,161
iter0,case1_name_only,122,5,1,4,runwaySurface,162
iter0,case1_name_only,123,2,0,2,,162
iter0,case1_name_only,124,4,1,3,airedOn,163
iter0,case1_name_only,125,2,1,1,tookPartIn,164
iter0,case1_name_only,126,1,0,1,,164
iter0,case1_name_only,127,2,0,2,,164
iter0,case1_name_only,128,7,2,5,yearInLeague; winLeague,166
iter0,case1_name_only,129,5,0,5,,166
iter0,case1_name_only,130,2,0,2,,166
iter0,case1_name_only,131,5,3,2,isAssociatedWith; director; awardedTechnicalCampusStatusTo,169
iter0,case1_name_only,132,4,1,3,operatingOrganization,170
iter0,case1_name_only,133,2,1,1,isAffiliatedTo,171
iter0,case1_name_only,134,4,0,4,,171
iter0,case1_name_only,135,3,1,2,orbital_period,172
iter0,case1_name_only,136,2,2,0,totalNumberOfStudents; undergraduateStudentCount,174
iter0,case1_name_only,137,2,1,1,productionLocation,175
iter0,case1_name_only,138,5,2,3,establishmentYear; neighbor,177
iter0,case1_name_only,139,3,0,3,,177
iter0,case1_name_only,140,3,0,3,,177
iter0,case1_name_only,141,3,0,3,,177
iter0,case1_name_only,142,0,0,0,,177
iter0,case1_name_only,143,4,1,3,designatedTechnicalCampusStatusTo,178
iter0,case1_name_only,144,3,0,3,,178
iter0,case1_name_only,145,1,0,1,,178
iter0,case1_name_only,146,6,2,4,status; affiliatedWith,180
iter0,case1_name_only,147,6,1,5,ingredient,181
iter0,case1_name_only,148,2,0,2,,181
iter0,case1_name_only,149,2,1,1,netIncome,182
iter0,case1_name_only,150,4,1,3,manufacturer,183
iter0,case1_name_only,151,1,0,1,,183
iter0,case1_name_only,152,2,1,1,successor,184
iter0,case1_name_only,153,1,0,1,,184
iter0,case1_name_only,154,8,5,3,placeOfBirth; serviceBranch; award; dateOfRetirement; placeOfDeath,189
iter0,case1_name_only,155,2,0,2,,189
iter0,case1_name_only,156,4,1,3,currentPosition,190
iter0,case1_name_only,157,3,0,3,,190
iter0,case1_name_only,158,4,0,4,,190
iter0,case1_name_only,159,3,0,3,,190
iter0,case1_name_only,160,2,0,2,,190
iter0,case1_name_only,161,2,0,2,,190
iter0,case1_name_only,162,4,0,4,,190
iter0,case1_name_only,163,2,0,2,,190
iter0,case1_name_only,164,5,1,4,currentClub,191
iter0,case1_name_only,165,12,4,8,establishedIn; southwestNeighbour; southeastNeighbour; northNeighbour,195
iter0,case1_name_only,166,3,0,3,,195
iter0,case1_name_only,167,4,2,2,locationOfBroadcast; lastAiredOn,197
iter0,case1_name_only,168,3,0,3,,197
iter0,case1_name_only,169,6,0,6,,197
iter0,case1_name_only,170,1,0,1,,197
iter0,case1_name_only,171,4,2,2,peopleName; hasItem,199
iter0,case1_name_only,172,3,1,2,releaseDate,200
iter0,case1_name_only,173,5,1,4,locationOfDeath,201
iter0,case1_name_only,174,1,1,0,longName,202
iter0,case1_name_only,175,5,0,5,,202
iter0,case1_name_only,176,3,0,3,,202
iter0,case1_name_only,177,1,0,1,,202
iter0,case1_name_only,178,3,0,3,,202
iter0,case1_name_only,179,4,2,2,playedIn; winningLeague,204
iter0,case1_name_only,180,3,0,3,,204
iter0,case1_name_only,181,2,0,2,,204
iter0,case1_name_only,182,2,1,1,discovered,205
iter0,case1_name_only,183,3,1,2,officialLanguage,206
iter0,case1_name_only,184,2,0,2,,206
iter0,case1_name_only,185,3,1,2,adjacentCounty,207
iter0,case1_name_only,186,1,1,0,formerTeam,208
iter0,case1_name_only,187,5,3,2,industry; product; currentLocation,211
iter0,case1_name_only,188,6,0,6,,211
iter0,case1_name_only,189,4,1,3,wonLeagueChampionship,212
iter0,case1_name_only,190,3,1,2,completedOn,213
iter0,case1_name_only,191,4,0,4,,213
iter0,case1_name_only,192,4,1,3,manages,214
iter0,case1_name_only,193,3,0,3,,214
iter0,case1_name_only,194,4,0,4,,214
iter0,case1_name_only,195,3,0,3,,214
iter0,case1_name_only,196,2,1,1,leader,215
iter0,case1_name_only,197,3,0,3,,215
iter0,case1_name_only,198,1,1,0,isAffiliatedWith,216
iter0,case1_name_only,199,3,2,1,firstProducedIn; lastProducedIn,218
iter0,case1_name_only,200,1,1,0,area,219
iter0,case1_name_only,201,2,0,2,,219
iter0,case1_name_only,202,2,0,2,,219
iter0,case1_name_only,203,4,1,3,fullName,220
iter0,case1_name_only,204,3,0,3,,220
iter0,case1_name_only,205,4,0,4,,220
iter0,case1_name_only,206,3,0,3,,220
iter0,case1_name_only,207,2,0,2,,220
iter0,case1_name_only,208,2,1,1,produced,221
iter0,case1_name_only,209,3,0,3,,221
iter0,case1_name_only,210,5,0,5,,221
iter0,case1_name_only,211,5,0,5,,221
iter0,case1_name_only,212,3,0,3,,221
iter0,case1_name_only,213,2,0,2,,221
iter0,case1_name_only,214,2,0,2,,221
iter0,case1_name_only,215,1,0,1,,221
iter0,case1_name_only,216,5,0,5,,221
iter0,case1_name_only,217,5,2,3,represented; position,223
iter0,case1_name_only,218,4,0,4,,223
iter0,case1_name_only,219,3,1,2,youthTeam,224
iter0,case1_name_only,220,2,1,1,participatedIn,225
iter0,case1_name_only,221,5,2,3,foundingEntity; wasFoundedBy,227
iter0,case1_name_only,222,2,0,2,,227
iter0,case1_name_only,223,3,0,3,,227
iter0,case1_name_only,224,3,0,3,,227
iter0,case1_name_only,225,3,1,2,anthem,228
iter0,case1_name_only,226,2,0,2,,228
iter0,case1_name_only,227,4,0,4,,228
iter0,case1_name_only,228,3,0,3,,228
iter0,case1_name_only,229,5,0,5,,228
iter0,case1_name_only,230,2,0,2,,228
iter0,case1_name_only,231,2,0,2,,228
iter0,case1_name_only,232,2,0,2,,228
iter0,case1_name_only,233,1,0,1,,228
iter0,case1_name_only,234,5,0,5,,228
iter0,case1_name_only,235,3,0,3,,228
iter0,case1_name_only,236,2,0,2,,228
iter0,case1_name_only,237,5,1,4,numberOfDoctoralStudents,229
iter0,case1_name_only,238,1,0,1,,229
iter0,case1_name_only,239,5,1,4,band,230
iter0,case1_name_only,240,3,1,2,doctoralStudents,231
iter0,case1_name_only,241,2,1,1,followedBy,232
iter0,case1_name_only,242,9,3,6,degree; graduationYear; yearInPosition,235
iter0,case1_name_only,243,2,0,2,,235
iter0,case1_name_only,244,5,1,4,propertyOf,236
iter0,case1_name_only,245,1,0,1,,236
iter0,case1_name_only,246,4,1,3,full_name,237
iter0,case1_name_only,247,2,1,1,yearErected,238
iter0,case1_name_only,248,4,0,4,,238
iter0,case1_name_only,249,7,1,6,runwayMaterial,239
iter0,case1_name_only,250,3,1,2,broughtUpBy,240
iter0,case1_name_only,251,3,1,2,leaderName,241
iter0,case1_name_only,252,4,0,4,,241
iter0,case1_name_only,253,2,2,0,published; publicationDate,243
iter0,case1_name_only,254,5,2,3,directedBy; statusGrantedBy,245
iter0,case1_name_only,255,5,1,4,discoveredAsteroid,246
iter0,case1_name_only,256,4,0,4,,246
iter0,case1_name_only,257,4,1,3,educates,247
iter0,case1_name_only,258,1,0,1,,247
iter0,case1_name_only,259,1,0,1,,247
iter0,case1_name_only,260,1,1,0,firstAppearance,248
iter0,case1_name_only,261,2,0,2,,248
iter0,case1_name_only,262,4,0,4,,248
iter0,case1_name_only,263,2,0,2,,248
iter0,case1_name_only,264,3,0,3,,248
iter0,case1_name_only,265,1,0,1,,248
iter0,case1_name_only,266,4,0,4,,248
iter0,case1_name_only,267,3,0,3,,248
iter0,case1_name_only,268,2,0,2,,248
iter0,case1_name_only,269,1,1,0,nationalAnthem,249
iter0,case1_name_only,270,2,0,2,,249
iter0,case1_name_only,271,2,0,2,,249
iter0,case1_name_only,272,2,0,2,,249
iter0,case1_name_only,273,1,1,0,populationTotal,250
iter0,case1_name_only,274,1,0,1,,250
iter0,case1_name_only,275,2,0,2,,250
iter0,case1_name_only,276,2,0,2,,250
iter0,case1_name_only,277,2,0,2,,250
iter0,case1_name_only,278,6,1,5,builtOn,251
iter0,case1_name_only,279,2,0,2,,251
iter0,case1_name_only,280,4,1,3,leadershipTitle,252
iter0,case1_name_only,281,4,1,3,productionPeriod,253
iter0,case1_name_only,282,8,1,7,hasBird,254
iter0,case1_name_only,283,3,0,3,,254
iter0,case1_name_only,284,4,1,3,containsTeam,255
iter0,case1_name_only,285,3,0,3,,255
iter0,case1_name_only,286,2,0,2,,255
iter0,case1_name_only,287,2,0,2,,255
iter0,case1_name_only,288,3,0,3,,255
iter0,case1_name_only,289,2,0,2,,255
iter0,case1_name_only,290,1,0,1,,255
iter0,case1_name_only,291,2,0,2,,255
iter0,case1_name_only,292,2,0,2,,255
iter0,case1_name_only,293,5,1,4,playIn,256
iter0,case1_name_only,294,5,0,5,,256
iter0,case1_name_only,295,2,1,1,coach,257
iter0,case1_name_only,296,1,1,0,postalCode,258
iter0,case1_name_only,297,1,0,1,,258
iter0,case1_name_only,298,5,0,5,,258
iter0,case1_name_only,299,3,0,3,,258
iter0,case1_name_only,300,3,0,3,,258
iter0,case1_name_only,301,2,1,1,inBand,259
iter0,case1_name_only,302,6,0,6,,259
iter0,case1_name_only,303,1,1,0,isLeaderOf,260
iter0,case1_name_only,304,1,0,1,,260
iter0,case1_name_only,305,3,1,2,isServedAs,261
iter0,case1_name_only,306,2,0,2,,261
iter0,case1_name_only,307,2,0,2,,261
iter0,case1_name_only,308,3,0,3,,261
iter0,case1_name_only,309,2,0,2,,261
iter0,case1_name_only,310,4,1,3,students,262
iter0,case1_name_only,311,4,2,2,countryOfCitizenship; presidentDuringTenure,264
iter0,case1_name_only,312,5,0,5,,264
iter0,case1_name_only,313,3,1,2,uses,265
iter0,case1_name_only,314,4,0,4,,265
iter0,case1_name_only,315,7,0,7,,265
iter0,case1_name_only,316,2,1,1,countryOfOrigin,266
iter0,case1_name_only,317,3,0,3,,266
iter0,case1_name_only,318,3,0,3,,266
iter0,case1_name_only,319,1,1,0,playInLeague,267
iter0,case1_name_only,320,1,0,1,,267
iter0,case1_name_only,321,2,0,2,,267
iter0,case1_name_only,322,3,0,3,,267
iter0,case1_name_only,323,1,0,1,,267
iter0,case1_name_only,324,1,0,1,,267
iter0,case1_name_only,325,2,1,1,manufacturingEndDate,268
iter0,case1_name_only,326,5,1,4,presidentDuringService,269
iter0,case1_name_only,327,3,0,3,,269
iter0,case1_name_only,328,2,0,2,,269
iter0,case1_name_only,329,9,1,8,mainIngredient,270
iter0,case1_name_only,330,1,0,1,,270
iter0,case1_name_only,331,2,0,2,,270
iter0,case1_name_only,332,3,2,1,citizenship; role,272
iter0,case1_name_only,333,3,0,3,,272
iter0,case1_name_only,334,3,0,3,,272
iter0,case1_name_only,335,4,0,4,,272
iter0,case1_name_only,336,4,0,4,,272
iter0,case1_name_only,337,7,2,5,selectedYear; apolloCrewMember,274
iter0,case1_name_only,338,7,0,7,,274
iter0,case1_name_only,339,1,0,1,,274
iter0,case1_name_only,340,1,1,0,language,275
iter0,case1_name_only,341,4,0,4,,275
iter0,case1_name_only,342,3,0,3,,275
iter0,case1_name_only,343,3,1,2,member,276
iter0,case1_name_only,344,5,1,4,inOfficeWith,277
iter0,case1_name_only,345,4,3,1,isStarOf; isBasedAt; airedShowOn,280
iter0,case1_name_only,346,3,1,2,locatedIn,281
iter0,case1_name_only,347,2,0,2,,281
iter0,case1_name_only,348,1,0,1,,281
iter0,case1_name_only,349,6,1,5,awardedBy,282
iter0,case1_name_only,350,3,0,3,,282
iter0,case1_name_only,351,5,1,4,wrote,283
iter0,case1_name_only,352,4,2,2,totalStudents; staffSize,285
iter0,case1_name_only,353,2,1,1,succeeded,286
iter0,case1_name_only,354,6,1,5,isServedBy,287
iter0,case1_name_only,355,2,2,0,operatingOrganisation; icaoIdentifier,289
iter0,case1_name_only,356,8,1,7,countryOfBirth,290
iter0,case1_name_only,357,2,1,1,bornWithin,291
iter0,case1_name_only,358,3,0,3,,291
iter0,case1_name_only,359,2,0,2,,291
iter0,case1_name_only,360,2,1,1,hasMember,292
iter0,case1_name_only,361,5,1,4,constructionStart,293
iter0,case1_name_only,362,4,0,4,,293
iter0,case1_name_only,363,3,0,3,,293
iter0,case1_name_only,364,2,0,2,,293
iter0,case1_name_only,365,4,1,3,direction,294
iter0,case1_name_only,366,4,0,4,,294
iter0,case1_name_only,367,4,1,3,isManagedBy,295
iter0,case1_name_only,368,1,0,1,,295
iter0,case1_name_only,369,3,2,1,citizens; countryOrigin,297
iter0,case1_name_only,370,4,0,4,,297
iter0,case1_name_only,371,1,0,1,,297
iter0,case1_name_only,372,2,0,2,,297
iter0,case1_name_only,373,2,0,2,,297
iter0,case1_name_only,374,5,2,3,ownedBy; startedConstructionOn,299
iter0,case1_name_only,375,5,0,5,,299
iter0,case1_name_only,376,3,0,3,,299
iter0,case1_name_only,377,2,0,2,,299
iter0,case1_name_only,378,2,0,2,,299
iter0,case1_name_only,379,2,1,1,studentBody_size,300
iter0,case1_name_only,380,3,0,3,,300
iter0,case1_name_only,381,6,0,6,,300
iter0,case1_name_only,382,2,0,2,,300
iter0,case1_name_only,383,4,0,4,,300
iter0,case1_name_only,384,3,0,3,,300
iter0,case1_name_only,385,5,0,5,,300
iter0,case1_name_only,386,5,1,4,headquarteredIn,301
iter0,case1_name_only,387,3,0,3,,301
iter0,case1_name_only,388,2,1,1,shownBy,302
iter0,case1_name_only,389,2,0,2,,302
iter0,case1_name_only,390,1,0,1,,302
iter0,case1_name_only,391,4,0,4,,302
iter0,case1_name_only,392,5,2,3,gaveTechnicalCampusStatusTo; fullAddress,304
iter0,case1_name_only,393,1,0,1,,304
iter0,case1_name_only,394,2,0,2,,304
iter0,case1_name_only,395,5,1,4,otherTeam,305
iter0,case1_name_only,396,2,1,1,prequelOf,306
iter0,case1_name_only,397,3,0,3,,306
iter0,case1_name_only,398,2,0,2,,306
iter0,case1_name_only,399,3,1,2,bodyStyle,307
iter0,case1_name_only,400,4,2,2,associatedWith; beganMusicalCareer,309
iter0,case1_name_only,401,4,0,4,,309
iter0,case1_name_only,402,1,0,1,,309
iter0,case1_name_only,403,6,0,6,,309
iter0,case1_name_only,404,1,0,1,,309
iter0,case1_name_only,405,4,0,4,,309
iter0,case1_name_only,406,5,1,4,numberOfPostgraduateStudents,310
iter0,case1_name_only,407,3,0,3,,310
iter0,case1_name_only,408,2,0,2,,310
iter0,case1_name_only,409,1,1,0,assemblyLocation,311
iter0,case1_name_only,410,6,1,5,campusLocation,312
iter0,case1_name_only,411,1,0,1,,312
iter0,case1_name_only,412,1,0,1,,312
iter0,case1_name_only,413,3,0,3,,312
iter0,case1_name_only,414,5,0,5,,312
iter0,case1_name_only,415,2,0,2,,312
iter0,case1_name_only,416,1,1,0,cosparId,313
iter0,case1_name_only,417,4,0,4,,313
iter0,case1_name_only,418,4,1,3,city,314
iter0,case1_name_only,419,5,1,4,previousChampions,315
iter0,case1_name_only,420,2,0,2,,315
iter0,case1_name_only,421,6,1,5,mainDishType,316
iter0,case1_name_only,422,1,0,1,,316
iter0,case1_name_only,423,1,0,1,,316
iter0,case1_name_only,424,2,0,2,,316
iter0,case1_name_only,425,2,1,1,debutTeam,317
iter0,case1_name_only,426,4,2,2,hasEngine; hasCylinderCount,319
iter0,case1_name_only,427,1,0,1,,319
iter0,case1_name_only,428,2,0,2,,319
iter0,case1_name_only,429,3,1,2,succeededBy,320
iter0,case1_name_only,430,4,1,3,playedBy,321
iter0,case1_name_only,431,5,0,5,,321
iter0,case1_name_only,432,2,0,2,,321
iter0,case1_name_only,433,2,0,2,,321
iter0,case1_name_only,434,4,0,4,,321
iter0,case1_name_only,435,3,0,3,,321
iter0,case1_name_only,436,2,0,2,,321
iter0,case1_name_only,437,2,1,1,isEthnicGroup,322
iter0,case1_name_only,438,5,0,5,,322
iter0,case1_name_only,439,1,0,1,,322
iter0,case1_name_only,440,3,0,3,,322
iter0,case1_name_only,441,2,0,2,,322
iter0,case1_name_only,442,2,0,2,,322
iter0,case1_name_only,443,2,0,2,,322
iter0,case1_name_only,444,2,0,2,,322
iter0,case1_name_only,445,3,0,3,,322
iter0,case1_name_only,446,1,0,1,,322
iter0,case1_name_only,447,4,1,3,absolute_magnitude,323
iter0,case1_name_only,448,2,1,1,numberOfStaffMembers,324
iter0,case1_name_only,449,2,1,1,locationOfOccurrence,325
iter0,case1_name_only,450,3,0,3,,325
iter0,case1_name_only,451,4,0,4,,325
iter0,case1_name_only,452,1,0,1,,325
iter0,case1_name_only,453,3,0,3,,325
iter0,case1_name_only,454,2,0,2,,325
iter0,case1_name_only,455,1,0,1,,325
iter0,case1_name_only,456,2,0,2,,325
iter0,case1_name_only,457,4,0,4,,325
iter0,case1_name_only,458,3,0,3,,325
iter0,case1_name_only,459,4,2,2,created; relationTo,327
iter0,case1_name_only,460,3,0,3,,327
iter0,case1_name_only,461,3,1,2,keyPerson,328
iter0,case1_name_only,462,3,1,2,hasDoctoralStudents,329
iter0,case1_name_only,463,2,1,1,operatingOrganisationFor,330
iter0,case1_name_only,464,8,0,8,,330
iter0,case1_name_only,465,4,1,3,CEO,331
iter0,case1_name_only,466,3,1,2,isHomeTo,332
iter0,case1_name_only,467,5,0,5,,332
iter0,case1_name_only,468,1,0,1,,332
iter0,case1_name_only,469,2,0,2,,332
iter0,case1_name_only,470,2,0,2,,332
iter0,case1_name_only,471,1,0,1,,332
iter0,case1_name_only,472,2,2,0,lastAired; starredIn,334
iter0,case1_name_only,473,4,0,4,,334
iter0,case1_name_only,474,2,0,2,,334
iter0,case1_name_only,475,2,0,2,,334
iter0,case1_name_only,476,3,1,2,currentSenator,335
iter0,case1_name_only,477,7,2,5,nativeOf; graduatedIn,337
iter0,case1_name_only,478,2,0,2,,337
iter0,case1_name_only,479,6,1,5,name,338
iter0,case1_name_only,480,2,0,2,,338
iter0,case1_name_only,481,3,0,3,,338
iter0,case1_name_only,482,3,0,3,,338
iter0,case1_name_only,483,2,0,2,,338
iter0,case1_name_only,484,4,0,4,,338
iter0,case1_name_only,485,10,2,8,servedAt; inhabitedBy,340
iter0,case1_name_only,486,1,0,1,,340
iter0,case1_name_only,487,3,0,3,,340
iter0,case1_name_only,488,5,0,5,,340
iter0,case1_name_only,489,3,0,3,,340
iter0,case1_name_only,490,4,0,4,,340
iter0,case1_name_only,491,2,0,2,,340
iter0,case1_name_only,492,4,1,3,hadCampusIn,341
iter0,case1_name_only,493,2,1,1,hasOfficial,342
iter0,case1_name_only,494,3,0,3,,342
iter0,case1_name_only,495,4,1,3,playedInSeason,343
iter0,case1_name_only,496,3,0,3,,343
iter0,case1_name_only,497,2,0,2,,343
iter0,case1_name_only,498,4,1,3,winLeagueTitle,344
iter0,case1_name_only,499,1,1,0,isFoundationPlace,345
iter0,case1_name_only,500,2,0,2,,345
iter0,case1_name_only,501,5,2,3,southeastNeighbor; westNeighbor,347
iter0,case1_name_only,502,2,0,2,,347
iter0,case1_name_only,503,3,0,3,,347
iter0,case1_name_only,504,2,0,2,,347
iter0,case1_name_only,505,3,1,2,hasNativeBird,348
iter0,case1_name_only,506,2,0,2,,348
iter0,case1_name_only,507,1,1,0,madeAutomobile,349
iter0,case1_name_only,508,7,0,7,,349
iter0,case1_name_only,509,2,0,2,,349
iter0,case1_name_only,510,6,0,6,,349
iter0,case1_name_only,511,4,0,4,,349
iter0,case1_name_only,512,7,0,7,,349
iter0,case1_name_only,513,3,0,3,,349
iter0,case1_name_only,514,3,0,3,,349
iter0,case1_name_only,515,1,0,1,,349
iter0,case1_name_only,516,2,0,2,,349
iter0,case1_name_only,517,5,0,5,,349
iter0,case1_name_only,518,2,1,1,draftPick,350
iter0,case1_name_only,519,2,0,2,,350
iter0,case1_name_only,520,3,0,3,,350
iter0,case1_name_only,521,2,1,1,postgraduateStudentCount,351
iter0,case1_name_only,522,7,2,5,numberOfAcademicStaff; sportsOffered,353
iter0,case1_name_only,523,3,0,3,,353
iter0,case1_name_only,524,3,1,2,hasTeam,354
iter0,case1_name_only,525,3,1,2,offersProduct,355
iter0,case1_name_only,526,4,0,4,,355
iter0,case1_name_only,527,2,0,2,,355
iter0,case1_name_only,528,2,1,1,northOf,356
iter0,case1_name_only,529,3,0,3,,356
iter0,case1_name_only,530,1,0,1,,356
iter0,case1_name_only,531,2,0,2,,356
iter0,case1_name_only,532,2,0,2,,356
iter0,case1_name_only,533,4,1,3,stateOfDeath,357
iter0,case1_name_only,534,5,0,5,,357
iter0,case1_name_only,535,3,0,3,,357
iter0,case1_name_only,536,1,0,1,,357
iter0,case1_name_only,537,5,0,5,,357
iter0,case1_name_only,538,5,0,5,,357
iter0,case1_name_only,539,4,0,4,,357
iter0,case1_name_only,540,4,0,4,,357
iter0,case1_name_only,541,1,0,1,,357
iter0,case1_name_only,542,2,1,1,contains,358
